DateTimeStamp;AValue
22/03/2020 03:29:00;395.3724
22/03/2020 03:32:00;412.5009
22/03/2020 03:33:00;390.4441
22/03/2020 03:34:00;378.0594
22/03/2020 03:35:00;404.6143
22/03/2020 03:36:00;391.3762
22/03/2020 03:38:00;407.0164
22/03/2020 03:39:00;370.4529
22/03/2020 03:40:00;398.7197
22/03/2020 03:41:00;383.8865
22/03/2020 03:43:00;403.3084
22/03/2020 03:44:00;379.4228
22/03/2020 03:45:00;411.2412
22/03/2020 03:46:00;379.6263
22/03/2020 03:48:00;410.3174
22/03/2020 03:49:00;396.6732
22/03/2020 03:50:00;366.0577
22/03/2020 03:51:00;405.2118
22/03/2020 03:52:00;368.6342
22/03/2020 03:53:00;387.0535
22/03/2020 03:54:00;405.4708
22/03/2020 03:55:00;371.8716
22/03/2020 03:56:00;382.0325
22/03/2020 03:57:00;395.6313
22/03/2020 03:58:00;374.571
22/03/2020 03:59:00;409.8116
22/03/2020 04:00:00;387.9724
22/03/2020 04:02:00;399.0946
22/03/2020 04:03:00;380.6057
22/03/2020 04:05:00;398.6552
22/03/2020 04:06:00;364.9875
22/03/2020 04:07:00;392.2377
22/03/2020 04:09:00;367.6104
22/03/2020 04:10:00;404.3634
22/03/2020 04:11:00;369.7536
22/03/2020 04:12:00;405.2713
22/03/2020 04:13:00;391.7863
22/03/2020 04:18:00;372.8188
22/03/2020 04:19:00;401.6116
22/03/2020 04:20:00;366.3983
22/03/2020 04:21:00;394.1249
22/03/2020 04:23:00;370.8529
22/03/2020 04:24:00;399.1459
22/03/2020 04:25:00;368.215
22/03/2020 04:26:00;408.1551
22/03/2020 04:27:00;370.6131
22/03/2020 04:28:00;405.8154
22/03/2020 04:29:00;372.2223
22/03/2020 04:30:00;405.6622
22/03/2020 04:31:00;362.4655
22/03/2020 04:32:00;393.4337
22/03/2020 04:33:00;381.573
22/03/2020 04:36:00;402.3008
22/03/2020 04:37:00;364.2611
22/03/2020 04:38:00;400.0226
22/03/2020 04:39:00;379.9155
22/03/2020 04:40:00;400.3984
22/03/2020 04:41:00;389.6985
22/03/2020 04:46:00;366.9363
22/03/2020 04:47:00;401.8302
22/03/2020 04:48:00;363.2112
22/03/2020 04:49:00;388.7533
22/03/2020 04:54:00;403.8697
22/03/2020 04:55:00;373.0647
22/03/2020 04:56:00;398.9646
22/03/2020 04:57:00;370.8409
22/03/2020 04:58:00;398.8608
22/03/2020 04:59:00;364.1593
22/03/2020 05:00:00;399.8422
22/03/2020 05:01:00;365.1004
22/03/2020 05:02:00;394.1189
22/03/2020 05:03:00;371.4494
22/03/2020 05:04:00;390.3635
22/03/2020 05:05:00;372.2051
22/03/2020 05:06:00;385.3113
22/03/2020 05:07:00;371.9009
22/03/2020 05:08:00;402.1617
22/03/2020 05:10:00;371.7114
22/03/2020 05:11:00;398.2129
22/03/2020 05:12:00;359.9958
22/03/2020 05:13:00;382.5585
22/03/2020 05:14:00;363.1688
22/03/2020 05:15:00;398.6663
22/03/2020 05:16:00;364.126
22/03/2020 05:17:00;381.4803
22/03/2020 05:18:00;369.0906
22/03/2020 05:19:00;383.684
22/03/2020 05:21:00;402.1779
22/03/2020 05:22:00;367.0179
22/03/2020 05:23:00;398.1263
22/03/2020 05:25:00;363.3673
22/03/2020 05:26:00;399.0684
22/03/2020 05:27:00;368.6855
22/03/2020 05:28:00;393.4035
22/03/2020 05:29:00;363.8056
22/03/2020 05:30:00;392.2307
22/03/2020 05:31:00;368.5092
22/03/2020 05:34:00;382.7922
22/03/2020 05:35:00;404.5246
22/03/2020 05:36:00;365.9216
22/03/2020 05:37:00;402.4791
22/03/2020 05:38:00;380.4022
22/03/2020 05:39:00;369.9763
22/03/2020 05:41:00;389.8597
22/03/2020 05:42:00;365.9025
22/03/2020 05:43:00;392.8292
22/03/2020 05:44:00;365.5226
22/03/2020 05:45:00;395.326
22/03/2020 05:46:00;358.9378
22/03/2020 05:47:00;404.5397
22/03/2020 05:48:00;379.4631
22/03/2020 05:50:00;401.9945
22/03/2020 05:51:00;378.3315
22/03/2020 05:54:00;359.5343
22/03/2020 05:55:00;397.4904
22/03/2020 05:56:00;361.1717
22/03/2020 05:57:00;398.1907
22/03/2020 05:58:00;359.9646
22/03/2020 05:59:00;396.38
22/03/2020 06:00:00;362.2982
22/03/2020 06:01:00;391.3298
22/03/2020 06:03:00;369.0946
22/03/2020 06:05:00;391.3157
22/03/2020 06:06:00;376.9269
22/03/2020 06:07:00;358.7998
22/03/2020 06:08:00;382.1091
22/03/2020 06:09:00;398.3086
22/03/2020 06:10:00;370.5819
22/03/2020 06:11:00;360.0492
22/03/2020 06:12:00;380.3185
22/03/2020 06:14:00;403.6601
22/03/2020 06:15:00;376.4059
22/03/2020 06:18:00;400.211
22/03/2020 06:19:00;363.7925
22/03/2020 06:20:00;383.7202
22/03/2020 06:22:00;360.1147
22/03/2020 06:23:00;393.3783
22/03/2020 06:24:00;360.7354
22/03/2020 06:26:00;393.3521
22/03/2020 06:27:00;359.754
22/03/2020 06:28:00;384.0598
22/03/2020 06:29:00;402.0176
22/03/2020 06:31:00;367.5631
22/03/2020 06:33:00;381.6375
22/03/2020 06:35:00;395.194
22/03/2020 06:36:00;361.3581
22/03/2020 06:37:00;394.136
22/03/2020 06:38:00;376.1097
22/03/2020 06:39:00;363.6293
22/03/2020 06:40:00;393.1738
22/03/2020 06:41:00;367.3071
22/03/2020 06:42:00;382.2985
22/03/2020 06:43:00;401.0604
22/03/2020 06:45:00;379.9377
22/03/2020 06:46:00;369.7284
22/03/2020 06:47:00;357.6994
22/03/2020 06:49:00;391.8185
22/03/2020 06:51:00;374.438
22/03/2020 06:52:00;359.4245
22/03/2020 06:53:00;386.4771
22/03/2020 06:57:00;370.8398
22/03/2020 07:00:00;396.9906
22/03/2020 07:01:00;363.4862
22/03/2020 07:03:00;396.3639
22/03/2020 07:04:00;382.6421
22/03/2020 07:05:00;364.4535
22/03/2020 07:06:00;397.1105
22/03/2020 07:07:00;376.1046
22/03/2020 07:08:00;362.3426
22/03/2020 07:10:00;393.4227
22/03/2020 07:11:00;403.7165
22/03/2020 07:13:00;378.8817
22/03/2020 07:16:00;399.3787
22/03/2020 07:17:00;383.1983
22/03/2020 07:18:00;367.0512
22/03/2020 07:19:00;400.9808
22/03/2020 07:20:00;374.4834
22/03/2020 07:22:00;398.0789
22/03/2020 07:23:00;370.8993
22/03/2020 07:24:00;389.8053
22/03/2020 07:25:00;403.0202
22/03/2020 07:27:00;362.6106
22/03/2020 07:28:00;395.1195
22/03/2020 07:29:00;376.4513
22/03/2020 07:31:00;393.3783
22/03/2020 07:32:00;371.0756
22/03/2020 07:33:00;382.492
22/03/2020 07:34:00;399.1601
22/03/2020 07:35:00;365.4561
22/03/2020 07:36:00;385.9592
22/03/2020 07:37:00;401.3516
22/03/2020 07:38:00;376.5822
22/03/2020 07:40:00;406.2809
22/03/2020 07:41:00;366.9424
22/03/2020 07:42:00;398.4638
22/03/2020 07:43:00;380.3951
22/03/2020 07:46:00;394.392
22/03/2020 07:47:00;376.6145
22/03/2020 07:49:00;395.2555
22/03/2020 07:51:00;407.1958
22/03/2020 07:52:00;393.46
22/03/2020 07:57:00;379.1779
22/03/2020 07:58:00;390.4401
22/03/2020 08:02:00;374.8119
22/03/2020 08:03:00;392.0432
22/03/2020 08:05:00;407.5576
22/03/2020 08:06:00;391.5737
22/03/2020 08:07:00;380.1472
22/03/2020 08:08:00;411.3657
22/03/2020 08:09:00;372.9599
22/03/2020 08:10:00;353.6115
22/03/2020 08:18:00;364.5603
22/03/2020 08:23:00;352.3419
22/03/2020 08:32:00;368.4145
22/03/2020 08:37:00;393.4801
22/03/2020 08:40:00;378.0272
22/03/2020 08:41:00;402.2212
22/03/2020 08:42:00;383.9681
22/03/2020 08:43:00;393.998
22/03/2020 08:44:00;381.8975
22/03/2020 08:45:00;407.0508
22/03/2020 08:46:00;381.5448
22/03/2020 08:47:00;408.0855
22/03/2020 08:48:00;393.3309
22/03/2020 08:49:00;405.639
22/03/2020 08:50:00;394.8162
22/03/2020 08:51:00;411.2906
22/03/2020 08:52:00;377.3128
22/03/2020 08:53:00;396.9967
22/03/2020 08:54:00;358.3513
22/03/2020 09:00:00;370.6806
22/03/2020 09:05:00;359.7832
22/03/2020 09:14:00;375.4104
22/03/2020 09:19:00;363.9719
22/03/2020 09:31:00;374.3927
22/03/2020 09:32:00;360.6477
22/03/2020 09:42:00;373.7025
22/03/2020 09:47:00;362.3748
22/03/2020 09:56:00;376.2447
22/03/2020 10:01:00;363.4812
22/03/2020 10:10:00;379.7261
22/03/2020 10:13:00;362.7487
22/03/2020 10:16:00;372.8813
22/03/2020 10:19:00;360.9974
22/03/2020 10:20:00;375.7701
22/03/2020 10:28:00;363.1214
22/03/2020 10:29:00;374.0522
22/03/2020 10:32:00;363.1658
22/03/2020 10:33:00;375.884
22/03/2020 10:34:00;362.6549
22/03/2020 10:35:00;376.9954
22/03/2020 10:36:00;363.7653
22/03/2020 10:38:00;381.2455
22/03/2020 10:42:00;365.5639
22/03/2020 10:43:00;376.5571
22/03/2020 11:06:00;389.1725
22/03/2020 11:11:00;377.8861
22/03/2020 11:21:00;389.9292
22/03/2020 11:22:00;377.2372
22/03/2020 11:23:00;387.4414
22/03/2020 11:24:00;375.9183
22/03/2020 11:34:00;390.6285
22/03/2020 11:35:00;378.804
22/03/2020 11:36:00;392.2115
22/03/2020 11:37:00;377.9879
22/03/2020 11:38:00;389.237
22/03/2020 11:39:00;374.1761
22/03/2020 11:42:00;385.9552
22/03/2020 11:53:00;366.9434
22/03/2020 12:03:00;378.3255
22/03/2020 12:08:00;367.553
22/03/2020 12:18:00;379.7794
22/03/2020 12:54:00;364.1553
22/03/2020 13:02:00;374.296
22/03/2020 14:00:00;386.329
22/03/2020 14:59:00;399.5309
22/03/2020 15:09:00;384.0084
22/03/2020 15:20:00;371.66
22/03/2020 15:22:00;358.3776
22/03/2020 15:25:00;346.9743
22/03/2020 15:33:00;335.8704
22/03/2020 15:44:00;346.2821
22/03/2020 15:50:00;336.1142
22/03/2020 16:03:00;324.2523
22/03/2020 16:08:00;340.7301
22/03/2020 16:11:00;328.9187
22/03/2020 16:12:00;339.2318
22/03/2020 16:17:00;326.0622
22/03/2020 16:18:00;337.0996
22/03/2020 16:19:00;323.5631
22/03/2020 16:22:00;334.4607
22/03/2020 16:23:00;319.6235
22/03/2020 16:24:00;332.263
22/03/2020 16:25:00;321.2079
22/03/2020 16:28:00;332.4736
22/03/2020 16:32:00;320.9579
22/03/2020 16:43:00;337.4795
22/03/2020 16:48:00;327.0481
22/03/2020 16:49:00;337.7354
22/03/2020 17:05:00;322.7664
22/03/2020 17:14:00;336.6684
22/03/2020 17:17:00;322.8325
22/03/2020 17:22:00;335.0552
22/03/2020 17:23:00;322.975
22/03/2020 17:24:00;333.6828
22/03/2020 17:34:00;321.9476
22/03/2020 17:35:00;336.2139
22/03/2020 17:36:00;323.7549
22/03/2020 17:39:00;334.4284
22/03/2020 17:43:00;347.72
22/03/2020 17:46:00;359.1263
22/03/2020 17:49:00;370.9789
22/03/2020 17:51:00;381.3997
22/03/2020 17:53:00;393.0307
22/03/2020 17:58:00;405.4909
22/03/2020 17:59:00;393.7582
22/03/2020 18:00:00;404.4208
22/03/2020 18:03:00;394.398
22/03/2020 18:04:00;404.5699
22/03/2020 18:05:00;393.1425
22/03/2020 18:06:00;404.1407
22/03/2020 18:07:00;394.1401
22/03/2020 18:12:00;411.4588
22/03/2020 18:15:00;399.9782
22/03/2020 18:16:00;411.5066
22/03/2020 18:17:00;392.9219
22/03/2020 18:18:00;405.9766
22/03/2020 18:19:00;392.3153
22/03/2020 18:20:00;407.2372
22/03/2020 18:21:00;396.2409
22/03/2020 18:22:00;406.6386
22/03/2020 18:23:00;394.4383
22/03/2020 18:24:00;405.5383
22/03/2020 18:33:00;431.3874
22/03/2020 18:34:00;405.6592
22/03/2020 18:38:00;392.4674
22/03/2020 18:39:00;404.5024
