date_time,mu,std
2019-09-22 09:00:00,0.13119384794044908,0.1679357426617284
2019-09-22 09:20:00,0.31484735477676973,0.14906332897767985
2019-09-22 09:40:00,0.34920001679323304,0.14405991307391008
2019-09-22 10:00:00,0.5321303581149747,0.13729562043917282
2019-09-22 10:20:00,0.555326910030208,0.136080132236146
2019-09-22 10:40:00,0.699336719919313,0.1359841070780649
2019-09-22 11:00:00,0.7196841244653819,0.13414011492349
2019-09-22 11:20:00,0.8064930290043847,0.1344561227815765
2019-09-22 11:40:00,0.7916296984505925,0.13635498434127968
2019-09-22 12:00:00,0.8765156164790083,0.13631681008930696
2019-09-22 12:20:00,0.8527977478914762,0.13599950226594032
2019-09-22 12:40:00,0.9016306296684603,0.13633603181680745
2019-09-22 13:00:00,0.8757797972266266,0.13610678877503027
2019-09-22 13:20:00,0.9007582968376685,0.1364271386158598
2019-09-22 13:40:00,0.8700284700701951,0.13539659647596217
2019-09-22 14:00:00,0.8885415588715566,0.134355966241531
2019-09-22 14:20:00,0.8448852041059336,0.13301687131254455
2019-09-22 14:40:00,0.858728288888092,0.131713147316757
2019-09-22 15:00:00,0.8297252383392659,0.12837728114800673
2019-09-22 15:20:00,0.8302481512640387,0.12842721007458568
2019-09-22 15:40:00,0.7794630185388214,0.12685962527555109
2019-09-22 16:00:00,0.7753990894218716,0.1263150604422542
2019-09-22 16:20:00,0.7233219484446464,0.12782321002587618
2019-09-22 16:40:00,0.7410253954244032,0.12484261324134374
2019-09-22 17:00:00,0.7107488357646845,0.12678669935106363
2019-09-22 17:20:00,0.7172778091196221,0.12503240907525962
2019-09-22 17:40:00,0.6835525760383795,0.1251756803753859
2019-09-22 18:00:00,0.6862289385634741,0.1253285037641801
2019-09-22 18:20:00,0.6634249771737457,0.12629214922956564
2019-09-22 18:40:00,0.6784872425638905,0.12348762121729097
2019-09-22 19:00:00,0.6806042430242779,0.12339872341589293
2019-09-22 19:20:00,0.6629524326719031,0.1214542546447929
2019-09-22 19:40:00,0.6560179739190012,0.1209869806731778
2019-09-22 20:00:00,0.6578224253923184,0.12053958837394912
2019-09-22 20:20:00,0.6568114359790436,0.11991438900572171
2019-09-22 20:40:00,0.6542567127972463,0.11980703718841368
2019-09-22 21:00:00,0.6494703801638116,0.12193260017411399
2019-09-22 21:20:00,0.6394272639668908,0.12170909289511106
2019-09-22 21:40:00,0.6456666609266063,0.11898464810044365
2019-09-22 22:00:00,0.6410994764725473,0.11877552475277073
2019-09-22 22:20:00,0.6415609791891764,0.11874604693081638
2019-09-22 22:40:00,0.6354457232360002,0.11893869653365002
2019-09-22 23:00:00,0.6341747109396919,0.11955664015127553
2019-09-22 23:20:00,0.6361578554999107,0.1182618168091888
2019-09-22 23:40:00,0.6392552440369594,0.11902870529222162
2019-09-23 00:00:00,0.6491734440427773,0.11719135844787518
2019-09-23 00:20:00,0.658957316430493,0.11726680817947176
2019-09-23 00:40:00,0.6571161648921034,0.11781530891521724
2019-09-23 01:00:00,0.6604321049675094,0.11674884129561733
2019-09-23 01:20:00,0.6583723613449727,0.11740629260223255
2019-09-23 01:40:00,0.6684301423860204,0.1165254499174456
2019-09-23 02:00:00,0.6670073144884303,0.1170874679159585
2019-09-23 02:20:00,0.671139754340443,0.11632625224385991
2019-09-23 02:40:00,0.6720199114653956,0.1167007837901282
2019-09-23 03:00:00,0.6817707033847389,0.11592614304494582
2019-09-23 03:20:00,0.6831086705719243,0.11661853044030646
2019-09-23 03:40:00,0.691413458964302,0.116084036239954
2019-09-23 04:00:00,0.6820495264043072,0.11822154841580768
2019-09-23 04:20:00,0.701496693447166,0.11628561764167622
2019-09-23 04:40:00,0.6958017064896461,0.11768511710649496
2019-09-23 05:00:00,0.7085542542349678,0.11751285153445502
2019-09-23 05:20:00,0.7213135583814528,0.11768947398478162
2019-09-23 05:40:00,0.7220262282024453,0.11737969805714833
2019-09-23 06:00:00,0.725614906838643,0.11733266526862078
2019-09-23 06:20:00,0.7417747428347523,0.11729673068420064
2019-09-23 06:40:00,0.7434706458132565,0.11781609222358366
2019-09-23 07:00:00,0.7688516408869346,0.117530117826897
2019-09-23 07:20:00,0.7685795168278504,0.11792681711842076
2019-09-23 07:40:00,0.7899361871079708,0.11896522242135091
2019-09-23 08:00:00,0.7994134156391373,0.1204224747162574
2019-09-23 08:20:00,0.8033216836560733,0.11977437531368657
2019-09-23 08:40:00,0.7965005887783024,0.11984679124878549
2019-09-23 09:00:00,0.8147710666454372,0.12290293085207744
2019-09-23 09:20:00,0.8224647773109524,0.1209977409978174
2019-09-23 09:40:00,0.835136976479439,0.12239192363614575
2019-09-23 10:00:00,0.8352719387691006,0.12143795744256264
2019-09-23 10:20:00,0.8433598305387248,0.12272085518246137
2019-09-23 10:40:00,0.8295239216450979,0.1214423568816599
2019-09-23 11:00:00,0.8170880876426247,0.12351196106805445
2019-09-23 11:20:00,0.811655746865038,0.12309101779539097
2019-09-23 11:40:00,0.8034257225877577,0.12539828938737937
2019-09-23 12:00:00,0.8067873168914009,0.12399490348716838
2019-09-23 12:20:00,0.8067085775318819,0.12556960654312713
2019-09-23 12:40:00,0.8189015717145856,0.12399688544087195
2019-09-23 13:00:00,0.7981309288939773,0.1267159484300308
2019-09-23 13:20:00,0.8158311413257238,0.12355707480345873
2019-09-23 13:40:00,0.828069759617674,0.12404017964824485
2019-09-23 14:00:00,0.8339980169426457,0.12372702411651233
2019-09-23 14:20:00,0.8463686917723244,0.12542576218969043
2019-09-23 14:40:00,0.8425585815985147,0.12448871424578226
